<PrintLog> x: 10, y: 30, alt: 14, battery: 20
<PrintLog> x: 10, y: 30, alt: 13, battery: 20
<PrintLog> x: 10, y: 30, alt: 12, battery: 20
<PrintLog> x: 10, y: 30, alt: 11, battery: 20
<PrintLog> x: 10, y: 30, alt: 10, battery: 20
<PrintLog> x: 10, y: 30, alt: 9, battery: 20
<PrintLog> x: 10, y: 30, alt: 8, battery: 20
<PrintLog> x: 10, y: 30, alt: 7, battery: 20
<PrintLog> x: 10, y: 30, alt: 6, battery: 20
<PrintLog> x: 10, y: 30, alt: 5, battery: 20
<PrintLog> x: 10, y: 30, alt: 4, battery: 20
<PrintLog> x: 10, y: 30, alt: 3, battery: 20
<PrintLog> x: 10, y: 30, alt: 2, battery: 20
<PrintLog> x: 10, y: 30, alt: 1, battery: 20
<PrintLog> x: 10, y: 30, alt: 0, battery: 20
